 INFO  | 2017-10-24 CEST 18:51:17 | Evaluating system, bash shell and script execution
 INFO  | 2017-10-24 CEST 18:51:17 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-10-24 CEST 18:51:17 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-10-24 CEST 18:51:17 |   Command used: partitNex2MrBayes_2017.10.24.1900.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Faircloth_etal_2013.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t jmodeltest -b /home/michael_science/binaries/jModelTest_2.1.7/jModelTest.jar -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Faircloth_etal_2013_jmodeltest_2017.10.24.1851.mrbayes -v -k
 INFO  | 2017-10-24 CEST 18:51:17 | Checking infiles
 INFO  | 2017-10-24 CEST 18:51:17 |   Type of Modeltesting selected: jmodeltest
 INFO  | 2017-10-24 CEST 18:51:17 | Re-formatting input NEXUS file
 INFO  | 2017-10-24 CEST 18:51:18 | Splitting NEXUS file into blocks
 INFO  | 2017-10-24 CEST 18:51:18 | Confirming that partitions do not overlap
 INFO  | 2017-10-24 CEST 18:51:18 | Ensuring that partitions form a continuous range
 INFO  | 2017-10-24 CEST 18:51:18 | Splitting matrix into partitions
 INFO  | 2017-10-24 CEST 18:52:07 | Preparing files for modeltesting
 INFO  | 2017-10-24 CEST 18:52:07 | Conducting modeltesting via: jmodeltest
 INFO  | 2017-10-24 CEST 18:53:25 |   Processing complete for partition: partition_001_10166_orylat2_chr13_13519567_13519747; Execution time: 1.300 minutes
 INFO  | 2017-10-24 CEST 18:54:52 |   Processing complete for partition: partition_002_10231_orylat2_chr13_14145234_14145414; Execution time: 1.450 minutes
 INFO  | 2017-10-24 CEST 18:56:38 |   Processing complete for partition: partition_003_10259_orylat2_chr13_14195639_14195819; Execution time: 1.767 minutes
 INFO  | 2017-10-24 CEST 18:58:30 |   Processing complete for partition: partition_004_10268_orylat2_chr13_14227519_14227698; Execution time: 1.867 minutes
 INFO  | 2017-10-24 CEST 19:00:25 |   Processing complete for partition: partition_005_10335_orylat2_chr13_14726871_14727126; Execution time: 1.917 minutes
 INFO  | 2017-10-24 CEST 19:02:20 |   Processing complete for partition: partition_006_10349_orylat2_chr13_14747605_14747785; Execution time: 1.917 minutes
